nombreUltimoEstudio,equivalencia,cantidad,igual
Bachiller En Ingenieria De Diseno Grafico,Bachiller En Ingenieria De Diseno Grafico,1,TRUE
Bachiller En Ingenieria De Las Telecomunicaciones,Bachiller En Ingenieria De Las Telecomunicaciones,1,TRUE
Bachiller En Ingenieria De Sistemas,Bachiller En Ingenieria De Sistemas,92,TRUE
Bachiller En Ingenieria De Sistemas E Informa,Bachiller En Ingenieria De Sistemas,1,FALSE
Bachiller En Ingenieria De Sistemas E Informatica,Bachiller En Ingenieria De Sistemas,6,FALSE
Bachiller En Ingenieria De Sistemas E Informatica.,Bachiller En Ingenieria De Sistemas,1,FALSE
Bachiller En Ingenieria De Sistemas Y Computacion,Bachiller En Ingenieria De Sistemas,2,FALSE
Bachiller En Ingenieria De Telecomunicaciones,Bachiller En Ingenieria De Telecomunicaciones,1,TRUE
Bachiller En Ingenieria Electronica,Bachiller En Ingenieria Electronica,2,TRUE
Bachiller En Ingenieria Eletronica,Bachiller En Ingenieria Eletronica,1,TRUE
Bachiller En Ingenieria Empresarial Y De Sistemas,Bachiller En Ingenieria Empresarial Y De Sistemas,3,TRUE
Bachiller En Ingenieria Industrial,Bachiller En Ingenieria Industrial,16,TRUE
Bachiller En Ingenieria Industrial Y Comercial,Bachiller En Ingenieria Industrial,2,FALSE
Bachiller En Ingenieria Industrial Y De Sistemas,Bachiller En Ingenieria Industrial,1,FALSE
Bachiller En Ingenieria Informatica,Bachiller En Ingenieria Informatica,2,TRUE
Bachiller En Ingenieria Informatica(En Curso),Bachiller En Ingenieria Informatica(En Curso),1,TRUE
Bachiller En Ingenieria Informatica.,Bachiller En Ingenieria Informatica.,2,TRUE
Bachiller En Ingenieria Mecatronica,Bachiller En Ingenieria Mecatronica,1,TRUE
Bachiller En Investigacion Operativa,Bachiller En Investigacion Operativa,2,TRUE
Bachiller En Marketing,Bachiller En Marketing,2,TRUE
Bachiller En Marketing &Amp; Gestion De Negocios,Bachiller En Marketing &Amp; Gestion De Negocios,1,TRUE
Bachiller En Marketing Y Gestion Comercial,Bachiller En Marketing Y Gestion Comercial,1,TRUE
Bachiller En Marketing Y Negocios Internacion,Bachiller En Marketing Y Negocios Internacion,2,TRUE
Bachiller En Negocios Internacionales,Bachiller En Negocios Internacionales,2,TRUE
Bachiller En Psicologia,Bachiller En Psicologia,7,TRUE
Bachiller En Psicologia Organizacional,Bachiller En Psicologia Organizacional,1,TRUE
Bachiller En Sistemas,Bachiller En Sistemas,3,TRUE
Bachiller En Sistemas Y Computacion,Bachiller En Sistemas Y Computacion,1,TRUE
Bachiller En Sociologia,Bachiller En Sociologia,1,TRUE
Bachiller En Trabajo Social,Bachiller En Trabajo Social,7,TRUE
Bachiller En Turismo Y Hoteleria,Bachiller En Turismo Y Hoteleria,1,TRUE
Bachiller Expedito Al Titulo Profesional,Bachiller Expedito Al Titulo Profesional,1,TRUE
Bachiller Facultad De Ingenieria De Sistemas,Bachiller Facultad De Ingenieria De Sistemas,1,TRUE
Bachiller Graduado En Ingenieria De Sistemas,Bachiller Graduado En Ingenieria De Sistemas,3,TRUE
